GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,Winrate
Overall,2022-23,1610612752,NYK,2022-11-20T00:00:00,5,2,3,0.4,2.8,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,2.0,2.0,0,0,1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612764,WAS,2022-11-28T00:00:00,21,11,10,0.524,24.1,2.8,6.8,0.406,0.8,2.8,0.288,1.2,1.6,0.765,1.0,4.1,5.1,2.4,1.4,0.7,0.7,0.5,3.1,1.3,7.6,1.0,20.0,2,0,18.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612756,PHX,2022-11-28T00:00:00,18,12,6,0.667,29.2,7.2,11.8,0.606,0.2,0.6,0.273,1.8,2.5,0.711,3.1,6.5,9.6,2.1,1.8,0.6,0.7,0.3,3.0,2.4,16.3,2.4,33.0,9,0,30.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612762,UTA,2022-11-28T00:00:00,7,3,4,0.429,4.4,0.9,1.0,0.857,0.0,0.0,0.0,0.0,0.6,0.0,0.6,1.6,2.1,0.1,0.3,0.3,0.3,0.0,0.3,0.4,1.7,2.3,5.9,0,0,5.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612765,DET,2022-11-27T00:00:00,9,2,7,0.222,23.9,5.2,9.1,0.573,0.3,1.1,0.3,2.0,2.3,0.857,2.3,4.0,6.3,0.4,1.1,1.0,0.8,0.2,2.4,2.2,12.8,-5.6,25.3,2,0,23.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612744,GSW,2022-11-23T00:00:00,4,1,3,0.25,6.0,1.0,2.5,0.4,0.5,2.0,0.25,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.3,0.8,0.0,0.0,0.0,0.0,2.5,-10.8,6.3,0,0,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612766,CHA,2022-11-16T00:00:00,3,1,2,0.333,32.8,7.3,17.7,0.415,3.3,10.7,0.313,1.3,1.7,0.8,0.0,3.7,3.7,7.0,3.7,1.0,0.3,0.3,2.7,1.7,19.3,-9.3,34.6,0,0,36.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612753,ORL,2022-11-27T00:00:00,19,5,14,0.263,18.7,3.0,6.3,0.479,1.1,2.9,0.357,1.2,1.6,0.71,1.2,3.4,4.5,1.2,0.9,0.3,0.8,0.4,2.2,1.3,8.2,-2.1,17.6,1,0,17.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612753,ORL,2022-11-28T00:00:00,14,2,12,0.143,34.8,7.9,17.1,0.46,1.0,3.6,0.275,6.1,8.4,0.729,0.9,6.2,7.1,3.5,3.0,0.8,0.7,1.2,2.4,6.1,22.9,-4.1,38.2,3,0,37.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612763,MEM,2022-11-11T00:00:00,12,9,3,0.75,33.5,8.3,17.8,0.465,3.8,8.5,0.451,4.3,4.8,0.912,0.5,4.4,4.9,4.8,2.3,0.6,0.3,1.6,2.4,3.8,24.7,6.3,37.9,0,0,39.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612761,TOR,2022-11-28T00:00:00,16,9,7,0.563,10.8,2.3,5.4,0.419,0.8,2.4,0.316,0.9,1.0,0.875,0.5,0.9,1.4,1.1,0.6,0.6,0.6,0.3,1.1,0.9,6.1,-2.1,12.4,0,0,11.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612759,SAS,2022-11-20T00:00:00,3,0,3,0.0,7.4,0.7,2.0,0.333,0.0,1.0,0.0,1.3,1.3,1.0,0.7,0.3,1.0,1.0,0.0,0.3,0.0,0.3,1.0,0.7,2.7,-2.7,6.4,0,0,5.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612758,SAC,2022-11-28T00:00:00,19,10,9,0.526,30.8,3.9,8.4,0.465,0.9,3.2,0.283,4.1,4.7,0.865,1.2,4.3,5.5,1.9,1.2,0.8,0.2,0.4,1.4,3.3,12.7,1.4,23.9,0,0,22.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
